TotalTime,Age,Gender,BreakfastToday,BreakfastUsually,HowHungry,TimeProposerInfo,TimeProposer,ProposedAmount,TimeResponderInfo,TimeResponder,TimeQ1,Q1,TimeQ2,Q2,TimeQ3,Q3,TimeQ4,Q4,TimeQ5,Q5,TimeQ6,Q6,TimeQ7,Q7,TimeQ8,Q8,QuestionsCorrect,LowestAcceptable,HighestAcceptable,UGFamiliar,QuestionsFamiliar,TotalQuestionTime,Condition,ProposerFirst,TotalProposerTime,TotalResponderTime,Cooperation,TotalCooperationTime,Condition.Name,TimeInfo
596,23,F,0,1,5,45.643,24.555,5,22.342,66.616,21.958,0,64.532,1,127.168,0,44.153,1,24.107,0,30.705,1,59.957,1,37.723,0,0.5,3,10,0,0,410.303,0,1,70.198,88.958,8,159.156,No Breakfast,67.985
1128,75,F,1,1,1,90.224,29.578,5.5,45.092,132.684,221.319,1,64.214,0,141.294,0,84.014,0,44.24,1,117.513,0,60.25,1,61.205,0,0.375,4,6.5,0,0,794.049,1,1,119.802,177.776,9.5,297.578,Breakfast,135.316
851,20,F,0,1,9,156.324,17.893,2,48.616,33.171,71.614,1,112.807,1,61,1,73.665,1,110.814,0,35.812,1,48.287,1,55.234,0,0.75,0,10,0,0,569.233,0,1,174.217,81.787,2,256.004,No Breakfast,204.94
549,22,M,1,1,4,56.252,26.25,4,26.574,40.161,20.776,0,35.164,0,56.804,0,111.273,0,21.883,0,26.63,0,70.171,1,27.529,0,0.125,4,10,0,0,370.23,1,1,82.502,66.735,8,149.237,Breakfast,82.826
1356,34,M,0,1,6,93.003,61.778,4,19.213,123.381,266.593,1,178.496,1,154.001,0,144.347,1,128.424,0,33.377,0,54.702,1,44.179,0,0.5,5,7,0,0,1004.119,0,1,154.781,142.594,9,297.375,No Breakfast,112.216
612,22,F,0,1,7,42.729,22.301,6,43.579,105.759,31.629,1,58.421,1,26.016,1,35.399,0,28.374,0,82.596,0,61.917,1,36.396,0,0.5,3,9,0,0,360.748,0,1,65.03,149.338,9,214.368,No Breakfast,86.308
754,20,M,0,0,7,117.063,22.2,5,54.061,68.796,46.589,1,24.523,1,72.525,1,28.662,0,16.761,0,138.68,1,72.558,1,58.12,0,0.625,0.5,10,0,0,458.418,1,1,139.263,122.857,5.5,262.12,Breakfast,171.124
799,27,M,0,1,4,140.416,15.497,5,61.437,64.856,44.632,0,46.106,0,54.597,0,87.617,1,72.173,0,41.643,0,65.695,0,66.057,1,0.25,4.5,10,0,0,478.52,1,1,155.913,126.293,9.5,282.206,Breakfast,201.853
812,25,F,0,1,3,70.854,19.099,5,67.064,42.602,102.046,1,29.288,0,82.734,0,38.096,1,88.931,0,55.872,1,125.968,1,48.651,0,0.5,5,7.5,0,1,571.586,0,1,89.953,109.666,10,199.619,No Breakfast,137.918
394,21,F,0,1,7,32.829,16.391,4.5,21.597,44.215,11.573,0,37.711,0,26.397,0,16.521,0,17.278,0,60.138,0,45.806,0,40.628,0,0,5,10,1,0,256.052,1,1,49.22,65.812,9.5,115.032,Breakfast,54.426
798,19,M,1,1,1,84.035,45.649,5.5,51.989,76.235,44.767,0,36.737,1,52.903,1,160.006,1,47.788,1,34.737,0,65.921,1,59.994,0,0.625,4,10,0,0,502.853,1,1,129.684,128.224,9.5,257.908,Breakfast,136.024
647,19,F,0,1,7,59.616,20.127,4.5,36.695,57.89,73.828,1,56.059,0,69.997,0,55.002,1,77.145,0,31.896,0,44.399,1,27.047,0,0.375,3.5,10,0,0,435.373,0,1,79.743,94.585,8,174.328,No Breakfast,96.311
1175,36,F,0,1,10,90.738,51.629,2,22.778,121.908,90.316,0,40.755,0,44.606,0,217.017,0,34.326,0,131.86,0,161.129,1,105.898,1,0.25,5,10,0,0,825.907,0,1,142.367,144.686,7,287.053,No Breakfast,113.516
698,27,F,0,1,7,84.815,26.372,5,52.383,194.825,16.868,0,42.3,0,26.681,0,58.556,0,30.464,0,54.899,1,42.958,0,37.577,0,0.125,4.5,6,1,0,310.303,0,1,111.187,247.208,9.5,358.395,No Breakfast,137.198
1097,19,F,0,1,7,116.816,21.107,6.5,24.525,31.811,55.705,1,62.269,1,288.418,0,157.719,1,32.557,0,54.124,1,136.64,1,74.633,0,0.625,1.5,10,1,0,862.065,0,1,137.923,56.336,8,194.259,No Breakfast,141.341
480,22,F,0,1,8,94.431,21.297,4,24.327,45.523,13.847,0,12.006,0,23.493,1,26.405,0,27.015,0,48.326,0,73.273,0,36.775,0,0.125,4,10,0,0,261.14,0,1,115.728,69.85,8,185.578,No Breakfast,118.758
511,23,F,0,1,6,47.631,21.692,5,22.084,42.211,49.879,0,42.31,1,61.11,0,47.868,1,26.924,0,26.278,0,51.791,1,26.906,0,0.375,6,10,0,0,333.066,0,1,69.323,64.295,11,133.618,No Breakfast,69.715
556,67,F,1,1,5,43.929,23.56,4,35.897,90.203,18.615,0,42.501,0,25.5,0,75.973,1,29.099,0,65.615,0,41.376,0,35.415,0,0.125,5,10,0,0,334.094,1,1,67.489,126.1,9,193.589,Breakfast,79.826
988,21,F,0,0,3,92.185,31.255,4,8.977,102.969,29.529,0,72.9,1,186.927,0,102.769,0,92.57,1,59.468,1,119.199,0,51.037,0,0.375,3.5,6.5,0,0,714.399,0,1,123.44,111.946,7.5,235.386,No Breakfast,101.162
570,23,M,1,1,3,77.027,25.34,5,8.575,33.74,28.668,1,45.435,1,15.087,1,73.726,0,76.637,0,44.95,0,52.823,1,47.526,0,0.5,4,10,0,0,384.852,1,1,102.367,42.315,9,144.682,Breakfast,85.602
548,22,M,1,1,3,43.781,59.299,6,22.108,57.599,21.037,1,26.98,1,20.157,1,87.023,0,39.416,1,41.802,1,57.341,1,39.674,0,0.75,4,10,1,0,333.43,1,1,103.08,79.707,10,182.787,Breakfast,65.889
679,56,M,1,1,4,69.355,19.436,10,50.502,61.393,104.756,1,33.254,0,49.792,0,75.024,0,22.321,1,82.619,1,38.373,1,28.34,0,0.5,0.5,10,1,0,434.479,1,1,88.791,111.895,10.5,200.686,Breakfast,119.857
497,21,F,1,1,4,56.646,18.504,4,43.869,66.773,18.475,0,76.59,0,16.576,0,24.672,0,50.954,0,24.194,0,27.482,0,34.846,0,0,3,6,0,0,273.789,1,1,75.15,110.642,7,185.792,Breakfast,100.515
1218,34,F,0,1,6,159.392,57.961,4,43.289,131.799,40.338,0,81.43,1,107.997,1,156.443,0,105.107,1,140.526,0,120.163,1,34.176,0,0.5,4,7,0,0,786.18,1,1,217.353,175.088,8,392.441,Breakfast,202.681
662,35,F,1,0,2,48.695,47.713,5,11.949,70.005,69.898,1,32,1,30.682,1,93.985,1,46.922,1,68.335,1,59.219,1,33.334,0,0.875,2,10,0,1,434.375,1,1,96.408,81.954,7,178.362,Breakfast,60.644
484,18,F,0,1,6,32.427,29.228,8.5,36.697,35.161,33.506,1,59.474,0,36.621,0,69.599,0,15.181,0,46.289,0,31.754,1,24.793,0,0.25,2,8,0,0,317.217,0,1,61.655,71.858,10.5,133.513,No Breakfast,69.124
338,29,M,1,1,4,25.423,9.154,2,8.863,32.073,22.645,1,33.894,0,52.088,0,28.725,0,13.503,1,27.004,1,34.341,1,21.493,0,0.5,2.5,5.5,0,0,233.693,1,1,34.577,40.936,4.5,75.513,Breakfast,34.286
1153,42,F,0,0,5,138.125,25.572,7,60.086,98.785,137.88,0,192.225,0,40.327,1,129.84,0,99.929,1,57.714,0,80.915,0,48.947,0,0.25,1,9.5,1,1,787.777,0,1,163.697,158.871,8,322.568,No Breakfast,198.211
416,21,F,0,1,7,59.845,17.377,5,23.809,86.094,15.313,0,29.793,0,38.765,0,16.685,0,14.26,0,46.472,0,23.356,0,15.722,0,0,4.5,8.5,0,0,200.366,0,1,77.222,109.903,9.5,187.125,No Breakfast,83.654
1018,26,M,0,1,10,15.32,46.854,0,39.112,108.898,45.805,0,183.356,1,95.729,0,73.684,0,34.383,0,82.412,0,83.502,0,179.672,0,0.125,4,10,1,0,778.543,0,1,62.174,148.01,4,210.184,No Breakfast,54.432
383,21,F,1,1,5,31.573,19.557,2,12.745,35.794,21.585,1,17.89,1,11.968,1,71.684,0,27.426,0,53.006,1,24.744,1,30.799,0,0.625,0.5,10,0,0,259.102,1,1,51.13,48.539,2.5,99.669,Breakfast,44.318
607,28,F,1,1,1,91.978,16.532,4,34.682,93.655,28.473,0,36.064,0,46.534,0,56.291,1,31.818,0,33.534,0,58.366,1,42.203,0,0.25,4,7.5,0,0,333.283,1,1,108.51,128.337,8,236.847,Breakfast,126.66
873,23,F,0,1,8,174.881,44.808,3,45.86,62.113,35.527,0,65.919,0,52.426,0,50.281,0,24.429,0,134.469,0,94.983,1,50.658,0,0.125,4,10,1,0,508.692,0,1,219.689,107.973,7,327.662,No Breakfast,220.741
