"omega1","lambda","gamma","pbeta"
0.936375049231279,0.151729698838628,0.0946714415661105,0.483944397217376
0.288013727110854,0.0527447137593182,0.151709517502404,0.98643387146466
0.920771780667648,0.0546794270209704,0.949973444225812,0.990612067967445
0.893843157290769,0.0552490223668232,0.0343584876268116,0.990348723487935
0.913287902376001,0.0481106706869114,0.950266513760988,0.989506488909964
0.351029055696499,0.0524142029803203,0.0972540804979148,0.983967296587155
0.413790947451497,0.0537594934696461,0.048759032905893,0.992140672158261
0.916501180250968,0.060913838091104,0.0488451339094182,0.97534651871624
0.913528006269319,0.0709716402125173,0.0571194114679517,0.883086474358678
0.35861174095759,0.0540035401743792,0.314353747098454,0.982394168125482
0.261162978385071,0.0590281789315685,0.149801845184344,0.99648641986507
0.130375945697583,0.053125492949743,0.807002435238482,0.986882177354336
0.568262148749845,0.124225090846305,0.920046400036804,0.498303983529258
0.185804175614568,0.0506939868390964,0.0373451613653434,0.989513257110229
0.283666909613092,0.0590002508719049,0.042958028658032,0.987152332662438
0.198635794621071,0.0603103418885295,0.040667757952756,0.99198119765374
0.406798470565762,0.0591895935217099,0.0754894271520508,0.991057865650704
0.190342928053207,0.0745581507894704,0.639492901252397,0.839668147356315
0.631579138276505,0.0847689143760666,0.0870038200522985,0.690047839576449
0.0805555193183967,0.065046580845914,0.957816267090001,0.469315756381472
0.238091637593652,0.0741202303550783,0.419975036030198,0.838324768276847
0.101186764239023,0.26606119173732,0.937111394415334,0.229640483199564
0.31160575296759,0.563385132060317,0.524993635262904,0.411249514241879
0.311991523338041,0.049678663786942,0.963385521662814,0.989377528835553
0.924490941170535,0.0429564542681545,0.448420941999343,0.99564091254286
0.921206054085005,0.0516109260529594,0.0404253218117122,0.993358957113299
0.268649864716675,0.0577519051445676,0.288930937399765,0.995045728523599
0.0960762733179008,0.750987014889824,0.688758002063473,0.712859294092683
0.53023396240245,0.0621841535404811,0.862294011436936,0.969795178375876
0.307509698436541,0.0568238827794224,0.0840696126566663,0.985255073042584
0.283359507524468,0.0642538718695028,0.0652962043645877,0.924161212887097
0.112397049435127,0.0595606565156588,0.949285922096133,0.9907568126009
0.904022968317582,0.0509611595212739,0.0650586939665112,0.979710045978555
0.701897209980813,0.0671941096450159,0.823890309791816,0.91394877546935
0.928948833631457,0.0465999993054891,0.0442633628974183,0.995191950855239
0.936628717809575,0.0590298088032209,0.0394765167852988,0.950061615619591
0.341237612015539,0.0640693512339441,0.285163222172943,0.986986387566486
0.895810237700675,0.0696223085038563,0.809272922253437,0.967007687694091
0.916903977157242,0.110950227396037,0.196649355936956,0.725301028352891
0.920933393516711,0.102599063090798,0.399307821122792,0.745129017754243
0.895978970141017,0.0659659659247824,0.0542462042490328,0.943236037767179
0.145137140108382,0.0746401226534385,0.975747829319601,0.593389368273199
0.129584286650859,0.0555351245542071,0.0980566320807568,0.964286963620575
0.898692361707242,0.0742957422606512,0.920679876220917,0.90661344114006
0.109858574825525,0.0513996349223745,0.037044299076792,0.980984248796196
0.163354689209219,0.0537937732993231,0.987831184989567,0.925190701023471
0.0936807764661262,0.0527139842125498,0.0538692799671505,0.878590149761795
0.905758965624428,0.0742441047511618,0.204458803872593,0.913407271285823
0.917819448181675,0.142383455206941,0.0472788889907827,0.56332596770328
0.926255472341942,0.048635443739999,0.194997536010211,0.992108351511982
0.108398776950476,0.0611518896266633,0.0480613988368032,0.989571291352168
