"omega1","lambda","gamma","pbeta"
0.307417468535508,0.0574650040831029,0.132865933093165,0.978819858865885
0.830020433080956,0.073866263720664,0.716061448614563,0.936281165739088
0.22284028632077,0.0596142493445688,0.198508790069121,0.962044598680804
0.910610155384354,0.0763589766040827,0.0940814283509496,0.817758701930474
0.752458251547663,0.109663786120785,0.136480799370577,0.669583639214335
0.11375287418582,0.0522070849045697,0.994309660484513,0.990031152815936
0.0925541651482238,0.0520684476743332,0.959928940158758,0.968998589678984
0.228837795227084,0.0549149873293188,0.743969003180271,0.867018585079772
0.443105435378266,0.061063822965503,0.918105182806334,0.981218129912885
0.351248242699585,0.0644854940253467,0.651660479489472,0.984142474775801
0.913147680722025,0.0656942005568357,0.486623140273888,0.9515870526094
0.0987880238338119,0.0700783257197192,0.616572822635953,0.766877137072948
0.158840288563454,0.163460746876973,0.118353618199185,0.554470721191295
0.0979868928899473,0.207010174503544,0.114146754997382,0.10802694332707
0.228715047652183,0.138912939239601,0.180748590791849,0.856661111814282
0.247949717558968,0.113126005397555,0.235986202853101,0.414345731155231
0.871951688160559,0.0596419640379929,0.0951552840133608,0.957531539675066
0.126684765237326,0.0563192263284663,0.177118565182204,0.843359030403974
0.47692073522869,0.0524544153187879,0.169592090084352,0.991291936920847
0.268753392337394,0.0564845193736889,0.41330484401574,0.984954618158242
0.950522770048502,0.0621440233411873,0.0257822395796447,0.918193451096211
0.916449965158174,0.0516350589837913,0.0324408534764678,0.990775278621208
0.823655250373106,0.0543673240915214,0.0314244179623516,0.98874478219163
0.914009324206517,0.0525417533162219,0.481433745572899,0.993036605713033
0.886370814822011,0.0655184576960296,0.12696772350538,0.975909552311337
0.158629432910749,0.0574679619011144,0.179334828660131,0.995042629744002
0.944410406535288,0.173462568684814,0.0941731032568527,0.26418832647756
0.936324269746784,0.150565893051521,0.097161240495171,0.494285002428487
0.137199395017652,0.052110641178802,0.158152037147821,0.986943643885731
0.916632381913224,0.0556823119516813,0.943793176318398,0.990940571253201
0.911596707887752,0.0531249145761191,0.0330902086670657,0.990065786271893
0.653702364272969,0.0567753397990967,0.947961489664154,0.990086050122666
0.527764117896118,0.0571850141756771,0.0714211393676806,0.981757294253047
0.142576343106879,0.055955176481398,0.0921172940085246,0.992638300466134
0.913985847020864,0.0599277475474524,0.0473025617062467,0.973549255571314
0.891961238940863,0.0629792743329731,0.0553881925408093,0.87304247690789
0.179283400420367,0.0544183502542331,0.322834782236426,0.982140611433737
0.242027032905012,0.0550273721822808,0.150072591809554,0.996230219048962
0.252124117282777,0.0548996987140135,0.80719594606853,0.986693677761582
0.659744697729707,0.125890825008476,0.929025351956233,0.474942453948933
0.186424890071117,0.0541512242807878,0.0382847111649218,0.989243285527349
0.358447702839471,0.0614416578647181,0.0374246045010643,0.988442869397427
0.14280278557556,0.0540060762652924,0.0465972222026901,0.991635780718
0.184459590897122,0.0585407745834156,0.0502079857603254,0.991135917109325
0.38063904401078,0.08308408330314,0.651232981114426,0.813111578354773
0.723374324416117,0.0898337747264294,0.0891624269461653,0.718175343942284
0.0868822607152207,0.0610430453445934,0.952711714485261,0.949114340709411
0.310324122573619,0.0803497517126635,0.298728332793278,0.861070291216767
0.125229677763847,0.26122037295896,0.934702087006154,0.216681975431886
0.409818718439489,0.594320682551274,0.524797437208971,0.421380540643032
0.307916254144769,0.0622717391001258,0.964346333885437,0.991480381803285
0.144982388840398,0.0511737886007566,0.449327746604693,0.99587683059232
0.355612887632917,0.049002125142395,0.0414235409521994,0.992164948274846
0.205618940445753,0.0590222903885344,0.287871802999908,0.995015863315036
0.0798873371471835,0.0539427952277671,0.691029455029254,0.7149628125562
0.67782364833209,0.0544660056945992,0.857595731665668,0.958420535451374
0.416294589222235,0.0491280566449434,0.178465414316097,0.983935446022482
0.883934187622945,0.0598435656397503,0.0700863981274358,0.908803790007433
0.370169443871011,0.0523584046064902,0.953843477733686,0.990891618275083
0.896606086304564,0.0511059760157564,0.0490450007289251,0.979877872738538
0.757609160493575,0.0644283404469036,0.820793177931564,0.958275515368934
0.92838338158844,0.0496970888959283,0.0389605480901886,0.995132195807369
0.928814590119315,0.0621592410972654,0.0324937879048807,0.963494865474687
0.918972819362527,0.0466730821896536,0.276150878920392,0.985122577046391
0.886014606972694,0.0700895841007982,0.804817968220161,0.956209976960175
0.911567592118375,0.102826638365863,0.222269378698919,0.719256935530565
0.91878314413847,0.10896328304769,0.399266214781072,0.753165521971329
0.910790885422957,0.068094371525163,0.0491821892837345,0.94218258933465
0.109006521650401,0.0738342485141112,0.976471675151326,0.59626387527372
0.106904857617687,0.0538393074867717,0.096388782832555,0.96845952542049
0.898293324972568,0.0843711500391256,0.917168757344815,0.902401838513501
0.290890857655026,0.0482205831653487,0.0752703001251186,0.979537732313856
0.272032692795027,0.0527666973846319,0.990242566407449,0.891305662136375
0.101198314677389,0.0526594037556721,0.0517296704063212,0.890558068005972
0.881082579087197,0.07714069021862,0.20426018515343,0.900277491042055
0.90342489859049,0.147521579036378,0.0485751977800959,0.547612614295625
0.431044550204137,0.0567854540230061,0.192721375245035,0.993783674291855
0.760845139106807,0.0534032568372693,0.0596570737886999,0.987316525497239
0.196365811690869,0.0572476262271939,0.102206156457271,0.989950285053801
0.108672915609867,0.0593682275777517,0.0403247888084786,0.992536000810443
0.156700244610826,0.0526456509992666,0.244949492911529,0.98729086998632
0.916412266560291,0.0572303534959578,0.0231205334648812,0.990660986269611
0.511110822043331,0.0520248160346908,0.0532786628674977,0.987541482136282
