"UniqueID","omega1","lambda","gamma","pbeta","Condition","Gender","BreakfastToday","BreakfastUsually","HowHungry","Punishment.First","GroupHunger","Condition.Name"
"Replication 32",0.916206637279991,0.0407135684162548,0.992438020218283,0.991077429383916,0,"F",0,0,5,"N",5.75,"No Breakfast"
"Replication 33",0.940728282188141,0.0546036708589361,0.867751519355265,0.983185407177583,1,"F",1,1,8,"N",4.25,"Breakfast"
"Replication 34",0.915290690565114,0.0621007740069885,0.711714339689713,0.964184747470275,1,"F",1,1,2,"N",4.25,"Breakfast"
"Replication 35",0.580414519575697,0.115660596299858,0.439064673008472,0.690274217737408,1,"F",1,1,5,"N",4.25,"Breakfast"
"Replication 36",0.278506961712741,0.0944975390094879,0.915906968903215,0.537538097275594,1,"M",1,1,2,"N",4.25,"Breakfast"
"Replication 37",0.923594171037744,0.0500578587357006,0.96459492124849,0.984101203510027,1,"F",1,1,2,"N",2,"Breakfast"
"Replication 38",0.920429294508035,0.0508215601798207,0.95900310646012,0.984601298025555,1,"F",1,1,2,"N",2,"Breakfast"
"Replication 39",0.843316210334255,0.079315790063512,0.0541381654994533,0.826392292252064,1,"F",1,1,1,"N",2,"Breakfast"
"Replication 4",0.888491893663449,0.0483053714637793,0.895535978989958,0.971536888127727,1,"F",1,1,1,"Y",3.75,"Breakfast"
"Replication 40",0.903719848606168,0.233132050394406,0.0304563492463625,0.654002597970808,1,"M",1,1,3,"N",2,"Breakfast"
"Replication 41",0.942628323928238,0.0487718701084839,0.95446058191413,0.980083453832217,1,"M",1,1,4,"Y",2,"Breakfast"
"Replication 42",0.110900486357797,0.104435523109505,0.822705947870819,0.484927554841046,1,"F",1,1,1,"Y",2,"Breakfast"
"Replication 43",0.936346659229857,0.0831502752213873,0.647420735390308,0.957593112996573,1,"F",1,1,1,"Y",2,"Breakfast"
"Replication 44",0.0920427981008651,0.551502534411153,0.940217384335199,0.061396311389121,1,"M",1,1,2,"Y",2,"Breakfast"
"Replication 45",0.93847929196919,0.0317839579538139,0.995406966994992,0.988656702816884,1,"F",1,1,1,"Y",2.5,"Breakfast"
